Gainesville,"32,611",FL,Alachua,29.68,-82.35
Gainesville,"32,612",FL,Alachua,29.68,-82.35
Gainesville,"32,614",FL,Alachua,29.68,-82.35
Gainesville,"32,627",FL,Alachua,29.65,-82.32
Gainesville,"32,635",FL,Alachua,29.68,-82.35
Gainesville,"32,641",FL,Alachua,29.68,-82.20
Gainesville,"32,653",FL,Alachua,29.77,-82.38
Hawthorne,"32,640",FL,Alachua,29.57,-82.11
High Springs,"32,643",FL,Alachua,29.84,-82.62
High Springs,"32,655",FL,Alachua,29.82,-82.60
Island Grove,"32,654",FL,Alachua,29.45,-82.11
La Crosse,"32,658",FL,Alachua,29.84,-82.40
Lochloosa,"32,662",FL,Alachua,29.51,-82.10
Micanopy,"32,667",FL,Alachua,29.51,-82.31
Newberry,"32,669",FL,Alachua,29.66,-82.59
Waldo,"32,694",FL,Alachua,29.79,-82.16
Alamance,"27,201",NC,Alamance,36.03,-79.49
Altamahaw,"27,202",NC,Alamance,36.19,-79.51
Burlington,"27,215",NC,Alamance,36.03,-79.49
Burlington,"27,216",NC,Alamance,36.05,-79.48
Burlington,"27,217",NC,Alamance,36.13,-79.41
Elon,"27,244",NC,Alamance,36.10,-79.51
Graham,"27,253",NC,Alamance,36.03,-79.38
Haw River,"27,258",NC,Alamance,36.09,-79.36
Mebane,"27,302",NC,Alamance,36.10,-79.27
Saxapahaw,"27,340",NC,Alamance,35.95,-79.33
Snow Camp,"27,349",NC,Alamance,35.91,-79.43
Swepsonville,"27,359",NC,Alamance,36.02,-79.36
Alameda,"94,501",CA,Alameda,37.77,-122.26
Alameda,"94,502",CA,Alameda,37.74,-122.24
Albany,"94,706",CA,Alameda,37.89,-122.30
Berkeley,"94,701",CA,Alameda,37.86,-122.30
Berkeley,"94,702",CA,Alameda,37.87,-122.29
Berkeley,"94,703",CA,Alameda,37.86,-122.27
Berkeley,"94,704",CA,Alameda,37.87,-122.26
Berkeley,"94,705",CA,Alameda,37.86,-122.25
Berkeley,"94,707",CA,Alameda,37.89,-122.28
Berkeley,"94,708",CA,Alameda,37.89,-122.26
Berkeley,"94,709",CA,Alameda,37.88,-122.27
Berkeley,"94,710",CA,Alameda,37.87,-122.30
Berkeley,"94,712",CA,Alameda,37.87,-122.27
Berkeley,"94,720",CA,Alameda,37.87,-122.25
Castro Valley,"94,546",CA,Alameda,37.70,-122.08
Castro Valley,"94,552",CA,Alameda,37.71,-122.04
Dublin,"94,568",CA,Alameda,37.72,-121.92
Emeryville,"94,608",CA,Alameda,37.84,-122.28
Emeryville,"94,662",CA,Alameda,37.83,-122.29
Fremont,"94,536",CA,Alameda,37.56,-122.00
Fremont,"94,537",CA,Alameda,37.68,-121.92
Fremont,"94,538",CA,Alameda,37.53,-121.97
Fremont,"94,539",CA,Alameda,37.52,-121.93
